Owner,View Name,Column Name,Data Type,Data Length,Precision,Description,,,
CS,WH_B_STU_TERM,ENRLMNT_COUNT,NUMBER,22,,Enrolled sections (classes) for the term,,,
CS,WH_B_STU_TERM,ENRLMNT_FLAG,VARCHAR2,1,,Enrollment/Registered Flag for the term,,,
CS,WH_B_STU_TERM,MAX_ACAD_PROG_EFF_DT,DATE,7,,Max Academic Program Effective Date for the Term,,,
CS,WH_B_STU_TERM,ACAD_LEVEL_CD_BOT,VARCHAR2,4,,Beginning of Term Academic Level Code,,,
CS,WH_B_STU_TERM,ACAD_LEVEL_CD_EOT,VARCHAR2,4,,End of Term Academic Level Code,,,
CS,WH_B_STU_TERM,STU_CLASSIFICATION_LEVEL,VARCHAR2,1,,UF student classification level (0-9),,,
CS,WH_B_STU_TERM,STU_CLASSIFICATION_LEVEL_EOT,VARCHAR2,1,,UF student classification level (0-9) at End of Term,,,
CS,WH_B_STU_TERM,RESIDENCY_CD,VARCHAR2,5,,Residency Code,,,
CS,WH_B_STU_TERM,LASTUPD_EW_DTTM,TIMESTAMP(6),11,6,Last updated timestamp - Warehousing column and indicates when the row was last updated from a transaction commit time on the source,,,
CS,WH_B_STU_TERM,PROF_GRAD_FLAG,VARCHAR2,1,,"Professional and Graduate Careers in the same term. Also indicates the CSTAT ""CD"" college code indicator for the term",,,
CS,WH_B_STU_TERM,ACAD_LOAD_CD,VARCHAR2,4,,"Academic Load Code (i.e. full-time, part-time, etc.)",,,
CS,WH_B_STU_TERM,TOT_GRADE_POINTS,NUMBER,22,9,Total Grade Points,,,
CS,WH_B_STU_TERM,TOT_HOURS_TAKEN_GPA,NUMBER,22,8,Total  Hours Taken Toward GPA,,,
CS,WH_B_STU_TERM,ENRLMT_SUMMER_A_FLAG,VARCHAR2,1,,Indicates enrollment (Y/N) for a Summer A if within a Summer term,,,
CS,WH_B_STU_TERM,ENRLMT_SUMMER_B_FLAG,VARCHAR2,1,,Indicates enrollment (Y/N) for a Summer B if within a Summer term,,,
CS,WH_B_STU_TERM,ENRLMT_SUMMER_C_FLAG,VARCHAR2,1,,Indicates enrollment (Y/N) for a Summer C if within a Summer term,,,
CS,WH_B_STU_TERM,ACAD_PROG_CD,VARCHAR2,5,,Academic Program Code - An academic program is the program to which a student applies and is admitted and from which the student graduates. ,,,
CS,WH_D_ACAD_CAR,ACAD_CAR_SID,NUMBER,10,0,Academic Career surrogate identification,,,
CS,WH_D_ACAD_CAR,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_D_ACAD_CAR,INSTITUTION_CD,VARCHAR2,5,,Institution Code - Currently all values contain UFLOR for University of Florida,,,
CS,WH_D_ACAD_CAR,INSTITUTION_SD,VARCHAR2,10,,Institution Short Description of the Institution code,,,
CS,WH_D_ACAD_CAR,INSTITUTION_LD,VARCHAR2,30,,Institution Long Description of the Institution code,,,
CS,WH_D_ACAD_CAR,ACAD_CAR_CD,VARCHAR2,4,,Academic Career Code - designates all course work undertaken by a student at an academic institution,,,
CS,WH_D_ACAD_CAR,EFF_DT,DATE,7,,"An effective date is when a table row becomes effective, or the date that an action begins. The PeopleSoft system supports the concept of effective-dated rows.",,,
CS,WH_D_ACAD_CAR,EFF_STATUS_CD,VARCHAR2,1,,"Effective Status Code (A- Active, I- Inactive)",,,
CS,WH_D_ACAD_CAR,ACAD_CAR_SD,VARCHAR2,10,,Academic Career Short Description for the Academic Career Code,,,
CS,WH_D_ACAD_CAR,ACAD_CAR_LD,VARCHAR2,30,,Academic Career Long Description for the Academic Career Code,,,
CS,WH_D_ACAD_CAR,TERM_TYPE_CD,VARCHAR2,1,,Term Type indicator (i.e. S for Semester) to describe the term definition,,,
CS,WH_D_ACAD_CAR,TERM_TYPE_SD,VARCHAR2,10,,Term Type Short Description for the Term Type indicator,,,
CS,WH_D_ACAD_CAR,TERM_TYPE_LD,VARCHAR2,30,,Term Type Long Description for the Term Type indicator,,,
CS,WH_D_ACAD_CAR,SRC_SYS_ID,VARCHAR2,5,,Source System ID - Warehousing column and identifies the source system this data originated from ,,,
CS,WH_D_ACAD_CAR,CREATED_EW_DTTM,TIMESTAMP(6),11,6,Created timestamp - Warehousing column and indicates when this row was created in the warehouse,,,
CS,WH_D_ACAD_CAR,LASTUPD_EW_DTTM,TIMESTAMP(6),11,6,Last updated timestamp - Warehousing column and indicates when the row was last updated from a transaction commit time on the source,,,
CS,WH_D_ACAD_GROUP,ACAD_GROUP_SID,NUMBER,10,0,Academic Group surrogate identification,,,
CS,WH_D_ACAD_GROUP,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_D_ACAD_GROUP,INSTITUTION_CD,VARCHAR2,5,,Institution Code - Currently all values contain UFLOR for University of Florida,,,
CS,WH_D_ACAD_GROUP,INSTITUTION_SD,VARCHAR2,10,,Institution Short Description of the Institution code,,,
CS,WH_D_ACAD_GROUP,INSTITUTION_LD,VARCHAR2,30,,Institution Long Description of the Institution code,,,
CS,WH_D_ACAD_GROUP,ACAD_GROUP_CD,VARCHAR2,5,,Academic Group Code - The code for the School / College offering the program,,,
CS,WH_D_ACAD_GROUP,EFF_DT,DATE,7,,"An effective date is when a table row becomes effective, or the date that an action begins. The PeopleSoft system supports the concept of effective-dated rows.",,,
CS,WH_D_ACAD_GROUP,EFF_STATUS_CD,VARCHAR2,1,,"Effective Status Code (A- Active, I- Inactive)",,,
CS,WH_D_ACAD_GROUP,ACAD_GROUP_SD,VARCHAR2,10,,Academic Group Short Description - The short description for the School / College offering the program,,,
CS,WH_D_ACAD_GROUP,ACAD_GROUP_LD,VARCHAR2,30,,Academic Group Long Description - The long description for the School / College offering the program,,,
CS,WH_D_ACAD_GROUP,SRC_SYS_ID,VARCHAR2,5,,Source System ID - Warehousing column and identifies the source system this data originated from ,,,
CS,WH_D_ACAD_GROUP,CREATED_EW_DTTM,TIMESTAMP(6),11,6,Created timestamp - Warehousing column and indicates when this row was created in the warehouse,,,
CS,WH_D_ACAD_GROUP,LASTUPD_EW_DTTM,TIMESTAMP(6),11,6,Last updated timestamp - Warehousing column and indicates when the row was last updated from a transaction commit time on the source,,,
CS,WH_D_ACAD_ORG,ACAD_ORG_SID,NUMBER,10,0,Academic Organization surrogate identification,,,
CS,WH_D_ACAD_ORG,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_D_ACAD_ORG,INSTITUTION_CD,VARCHAR2,5,,Institution Code - Currently all values contain UFLOR for University of Florida,,,
CS,WH_D_ACAD_ORG,INSTITUTION_SD,VARCHAR2,10,,Institution Short Description of the Institution code,,,
CS,WH_D_ACAD_ORG,INSTITUTION_LD,VARCHAR2,30,,Institution Long Description of the Institution code,,,
CS,WH_D_ACAD_ORG,CAMPUS_SID,NUMBER,10,0,Campus Surrogate identification,,,
CS,WH_D_ACAD_ORG,CAMPUS_CD,VARCHAR2,5,,Campus code - Currently all data is under one Campus,,,
CS,WH_D_ACAD_ORG,CAMPUS_SD,VARCHAR2,10,,Campus Short Description,,,
CS,WH_D_ACAD_ORG,CAMPUS_LD,VARCHAR2,30,,Campus Long Description,,,
CS,WH_D_ACAD_ORG,ACAD_ORG_CD,VARCHAR2,10,,"Academic Organization  Code - Academic organization structure defines how an academic institution is organized from an administrative perspective. At the lowest level, an academic organization can be compared to an academic department. At the highest level, an academic organization can represent a division. This is considered the department level.",,,
CS,WH_D_ACAD_ORG,EFF_DT,DATE,7,,"An effective date is when a table row becomes effective, or the date that an action begins. The PeopleSoft system supports the concept of effective-dated rows.",,,
CS,WH_D_ACAD_ORG,EFF_STATUS_CD,VARCHAR2,1,,"Effective Status Code (A- Active, I- Inactive)",,,
CS,WH_D_ACAD_ORG,ACAD_ORG_SD,VARCHAR2,10,,Academic Organization Short Description,,,
CS,WH_D_ACAD_ORG,ACAD_ORG_LD,VARCHAR2,30,,Academic Organization Long Description,,,
CS,WH_D_ACAD_ORG,ACAD_ORG_FD,VARCHAR2,50,,Academic Organization Formal Description,,,
CS,WH_D_ACAD_ORG,SRC_SYS_ID,VARCHAR2,5,,Source System ID - Warehousing column and identifies the source system this data originated from ,,,
CS,WH_D_ACAD_ORG,CREATED_EW_DTTM,TIMESTAMP(6),11,6,Created timestamp - Warehousing column and indicates when this row was created in the warehouse,,,
CS,WH_D_ACAD_ORG,LASTUPD_EW_DTTM,TIMESTAMP(6),11,6,Last updated timestamp - Warehousing column and indicates when the row was last updated from a transaction commit time on the source,,,
CS,WH_D_ACAD_ORG,ACAD_GROUP_SID,NUMBER,10,0,Academic Group surrogate identification,,,
CS,WH_D_ACAD_ORG,ACAD_GROUP_CD,VARCHAR2,5,,Academic Group Code - The code for the School / College offering the program,,,
CS,WH_D_ACAD_ORG,ACAD_GROUP_SD,VARCHAR2,10,,Academic Group Short Description - The short description for the School / College offering the program,,,
CS,WH_D_ACAD_ORG,ACAD_GROUP_LD,VARCHAR2,30,,Academic Group Long Description - The long description for the School / College offering the program,,,
CS,WH_D_ACAD_PLAN,ACAD_PLAN_SID,NUMBER,10,0,Academic Plan Surrogate Identification,,,
CS,WH_D_ACAD_PLAN,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_D_ACAD_PLAN,INSTITUTION_CD,VARCHAR2,5,,Institution Code - Currently all values contain UFLOR for University of Florida,,,
CS,WH_D_ACAD_PLAN,INSTITUTION_SD,VARCHAR2,10,,Institution Short Description of the Institution code,,,
CS,WH_D_ACAD_PLAN,INSTITUTION_LD,VARCHAR2,30,,Institution Long Description of the Institution code,,,
CS,WH_D_ACAD_PLAN,ACAD_CAR_SID,NUMBER,10,0,Academic Career surrogate identification,,,
CS,WH_D_ACAD_PLAN,ACAD_CAR_CD,VARCHAR2,4,,Academic Career Code - designates all course work undertaken by a student at an academic institution,,,
CS,WH_D_ACAD_PLAN,ACAD_CAR_SD,VARCHAR2,10,,Academic Career Short Description for the Academic Career Code,,,
CS,WH_D_ACAD_PLAN,ACAD_CAR_LD,VARCHAR2,30,,Academic Career Long Description for the Academic Career Code,,,
CS,WH_D_ACAD_PLAN,ACAD_GROUP_SID,NUMBER,10,0,Academic Group surrogate identification,,,
CS,WH_D_ACAD_PLAN,ACAD_GROUP_CD,VARCHAR2,5,,Academic Group Code - The code for the School / College offering the program,,,
CS,WH_D_ACAD_PLAN,ACAD_GROUP_SD,VARCHAR2,10,,Academic Group Short Description - The short description for the School / College offering the program,,,
CS,WH_D_ACAD_PLAN,ACAD_GROUP_LD,VARCHAR2,30,,Academic Group Long Description - The long description for the School / College offering the program,,,
CS,WH_D_ACAD_PLAN,ACAD_PROG_SID,NUMBER,10,0,Academic Program Surrogate Identification,,,
CS,WH_D_ACAD_PLAN,ACAD_PROG_CD,VARCHAR2,5,,Academic Program Code - An academic program is the program to which a student applies and is admitted and from which the student graduates. ,,,
CS,WH_D_ACAD_PLAN,ACAD_PROG_SD,VARCHAR2,10,,Academic Program Short Description,,,
CS,WH_D_ACAD_PLAN,ACAD_PROG_LD,VARCHAR2,30,,Academic Program Long Description,,,
CS,WH_D_ACAD_PLAN,ACAD_PLAN_CD,VARCHAR2,10,,"Academic Plan Code -  An academic plan is an area of study—such as a major, minor, or specialization—that is within an academic program or within an academic career.",,,
CS,WH_D_ACAD_PLAN,EFF_DT,DATE,7,,"An effective date is when a table row becomes effective, or the date that an action begins. The PeopleSoft system supports the concept of effective-dated rows.",,,
CS,WH_D_ACAD_PLAN,EFF_STATUS_CD,VARCHAR2,1,,"Effective Status Code (A- Active, I- Inactive)",,,
CS,WH_D_ACAD_PLAN,ACAD_PLAN_SD,VARCHAR2,10,,Academic Plan Short Description,,,
CS,WH_D_ACAD_PLAN,ACAD_PLAN_LD,VARCHAR2,30,,Academic Plan Long Description,,,
CS,WH_D_ACAD_PLAN,ACAD_PLAN_TYPE_CD,VARCHAR2,3,,"Academic Plan Type Code - Indicate the type of plan (major, minor, or specialization/certificate)",,,
CS,WH_D_ACAD_PLAN,ACAD_PLAN_TYPE_SD,VARCHAR2,10,,Academic Plan Type Short Description,,,
CS,WH_D_ACAD_PLAN,ACAD_PLAN_TYPE_LD,VARCHAR2,30,,Academic Plan Type Long Description,,,
CS,WH_D_ACAD_PLAN,STUDY_FIELD_CD,VARCHAR2,10,,Field of Study Code ,,,
CS,WH_D_ACAD_PLAN,STUDY_FIELD_SD,VARCHAR2,10,,Field of Study Short Description,,,
CS,WH_D_ACAD_PLAN,STUDY_FIELD_LD,VARCHAR2,30,,Field of Study Long Description,,,
CS,WH_D_ACAD_PLAN,STUDY_FIELD_FD,VARCHAR2,50,,Field of Study Formal Description,,,
CS,WH_D_ACAD_PLAN,CIP_CD,VARCHAR2,13,,Classification of Instructional Programs Code,,,
CS,WH_D_ACAD_PLAN,CIP_LD,VARCHAR2,30,,Classification of Instructional Programs Long Description,,,
CS,WH_D_ACAD_PLAN,HEGIS_CD,VARCHAR2,8,,The Higher Education General Information Survey (HEGIS) Series Code,,,
CS,WH_D_ACAD_PLAN,HEGIS_LD,VARCHAR2,30,,The Higher Education General Information Survey (HEGIS) Series Long Description,,,
CS,WH_D_ACAD_PLAN,DEGREE_CD,VARCHAR2,8,,Degree Code,,,
CS,WH_D_ACAD_PLAN,NSC_CLASSIFICATION_LEVEL,VARCHAR2,1,,NSC Classification Level,,,
CS,WH_D_ACAD_PLAN,UFONLINE_FLAG,VARCHAR2,1,,Common Attribute Framework for Academic Plan - UF Online,,,
CS,WH_D_ACAD_PLAN,INNOVACAD_FLAG,VARCHAR2,1,,Common Attribute Framework for Academic Plan - Innovation Academy,,,
CS,WH_D_ACAD_PLAN,PACE_FLAG,VARCHAR2,1,,Common Attribute Framework for Academic Plan - Pathway to Campus Enr (PaCE),,,
CS,WH_D_ACAD_PLAN,EFF_START_DT,DATE,7,,Effective start date of the row within PeopleSoft - Used in conjunction with Type 2 dimension,,,
CS,WH_D_ACAD_PLAN,EFF_END_DT,DATE,7,,Effective end date of the row within PeopleSoft - Used in conjunction with Type 2 dimension,,,
CS,WH_D_ACAD_PLAN,PS_CUR_FLAG,VARCHAR2,1,,Flag (Y/N) that indicates if this row is still active in PeopleSoft - Used in conjunction with Type 2 dimension,,,
CS,WH_D_ACAD_PLAN,SRC_SYS_ID,VARCHAR2,5,,Source System ID - Warehousing column and identifies the source system this data originated from ,,,
CS,WH_D_ACAD_PLAN,CREATED_EW_DTTM,TIMESTAMP(6),11,6,Created timestamp - Warehousing column and indicates when this row was created in the warehouse,,,
CS,WH_D_ACAD_PLAN,LASTUPD_EW_DTTM,TIMESTAMP(6),11,6,Last updated timestamp - Warehousing column and indicates when the row was last updated from a transaction commit time on the source,,,
CS,WH_D_ACAD_PLAN,ACAD_ORG_SID,NUMBER,10,0,Academic Organization surrogate identification,,,
CS,WH_D_ACAD_PLAN,ACAD_ORG_CD,VARCHAR2,10,,"Academic Organization  Code - Academic organization structure defines how an academic institution is organized from an administrative perspective. At the lowest level, an academic organization can be compared to an academic department. At the highest level, an academic organization can represent a division. This is considered the department level.",,,
CS,WH_D_ACAD_PLAN,ACAD_ORG_SD,VARCHAR2,10,,Academic Organization Short Description,,,
CS,WH_D_ACAD_PLAN,ACAD_ORG_LD,VARCHAR2,30,,Academic Organization Long Description,,,
CS,WH_D_ACAD_PROG,ACAD_PROG_SID,NUMBER,10,0,Academic Program Surrogate Identification,,,
CS,WH_D_ACAD_PROG,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_D_ACAD_PROG,INSTITUTION_CD,VARCHAR2,5,,Institution Code - Currently all values contain UFLOR for University of Florida,,,
CS,WH_D_ACAD_PROG,INSTITUTION_SD,VARCHAR2,10,,Institution Short Description of the Institution code,,,
CS,WH_D_ACAD_PROG,INSTITUTION_LD,VARCHAR2,30,,Institution Long Description of the Institution code,,,
CS,WH_D_ACAD_PROG,ACAD_ORG_SID,NUMBER,10,0,Academic Organization surrogate identification,,,
CS,WH_D_ACAD_PROG,ACAD_ORG_CD,VARCHAR2,10,,"Academic Organization  Code - Academic organization structure defines how an academic institution is organized from an administrative perspective. At the lowest level, an academic organization can be compared to an academic department. At the highest level, an academic organization can represent a division. This is considered the department level.",,,
CS,WH_D_ACAD_PROG,ACAD_ORG_SD,VARCHAR2,10,,Academic Organization Short Description,,,
CS,WH_D_ACAD_PROG,ACAD_ORG_LD,VARCHAR2,30,,Academic Organization Long Description,,,
CS,WH_D_ACAD_PROG,ACAD_CAR_SID,NUMBER,10,0,Academic Career surrogate identification,,,
CS,WH_D_ACAD_PROG,ACAD_CAR_CD,VARCHAR2,4,,Academic Career Code - designates all course work undertaken by a student at an academic institution,,,
CS,WH_D_ACAD_PROG,ACAD_CAR_SD,VARCHAR2,10,,Academic Career Short Description for the Academic Career Code,,,
CS,WH_D_ACAD_PROG,ACAD_CAR_LD,VARCHAR2,30,,Academic Career Long Description for the Academic Career Code,,,
CS,WH_D_ACAD_PROG,ACAD_GROUP_SID,NUMBER,10,0,Academic Group surrogate identification,,,
CS,WH_D_ACAD_PROG,ACAD_GROUP_CD,VARCHAR2,5,,Academic Group Code - The code for the School / College offering the program,,,
CS,WH_D_ACAD_PROG,ACAD_GROUP_SD,VARCHAR2,10,,Academic Group Short Description - The short description for the School / College offering the program,,,
CS,WH_D_ACAD_PROG,ACAD_GROUP_LD,VARCHAR2,30,,Academic Group Long Description - The long description for the School / College offering the program,,,
CS,WH_D_ACAD_PROG,ACAD_PROG_CD,VARCHAR2,5,,Academic Program Code - An academic program is the program to which a student applies and is admitted and from which the student graduates. ,,,
CS,WH_D_ACAD_PROG,EFF_DT,DATE,7,,"An effective date is when a table row becomes effective, or the date that an action begins. The PeopleSoft system supports the concept of effective-dated rows.",,,
CS,WH_D_ACAD_PROG,EFF_STATUS_CD,VARCHAR2,1,,"Effective Status Code (A- Active, I- Inactive)",,,
CS,WH_D_ACAD_PROG,ACAD_PROG_SD,VARCHAR2,10,,Academic Program Short Description,,,
CS,WH_D_ACAD_PROG,ACAD_PROG_LD,VARCHAR2,30,,Academic Program Long Description,,,
CS,WH_D_ACAD_PROG,ACAD_CALENDAR_CD,VARCHAR2,4,,Academic Calendar Identification Code,,,
CS,WH_D_ACAD_PROG,ACAD_CALENDAR_SD,VARCHAR2,10,,Academic Calendar Identification Short Description,,,
CS,WH_D_ACAD_PROG,ACAD_CALENDAR_LD,VARCHAR2,30,,Academic Calendar Identification Long Description,,,
CS,WH_D_ACAD_PROG,NORM_CMPLTN_YR_NUM,NUMBER,10,0,Normal Completion Years - Currently not utilized ,,,
CS,WH_D_ACAD_PROG,RESIDENCY_REQ_FLAG,VARCHAR2,1,,Residency required flag for an academic program,,,
CS,WH_D_ACAD_PROG,CIP_CD,VARCHAR2,13,,Classification of Instructional Programs Code,,,
CS,WH_D_ACAD_PROG,CIP_LD,VARCHAR2,30,,Classification of Instructional Programs Long Description,,,
CS,WH_D_ACAD_PROG,HEGIS_CD,VARCHAR2,8,,The Higher Education General Information Survey (HEGIS) Series Code,,,
CS,WH_D_ACAD_PROG,HEGIS_LD,VARCHAR2,30,,The Higher Education General Information Survey (HEGIS) Series Long Description,,,
CS,WH_D_ACAD_PROG,EFF_START_DT,DATE,7,,Effective start date of the row within PeopleSoft - Used in conjunction with Type 2 dimension,,,
CS,WH_D_ACAD_PROG,EFF_END_DT,DATE,7,,Effective end date of the row within PeopleSoft - Used in conjunction with Type 2 dimension,,,
CS,WH_D_ACAD_PROG,PS_CUR_FLAG,VARCHAR2,1,,Flag (Y/N) that indicates if this row is still active in PeopleSoft - Used in conjunction with Type 2 dimension,,,
CS,WH_D_ACAD_PROG,SRC_SYS_ID,VARCHAR2,5,,Source System ID - Warehousing column and identifies the source system this data originated from ,,,
CS,WH_D_ACAD_PROG,CREATED_EW_DTTM,TIMESTAMP(6),11,6,Created timestamp - Warehousing column and indicates when this row was created in the warehouse,,,
CS,WH_D_ACAD_PROG,LASTUPD_EW_DTTM,TIMESTAMP(6),11,6,Last updated timestamp - Warehousing column and indicates when the row was last updated from a transaction commit time on the source,,,
CS,WH_D_ACAD_SPLAN,ACAD_SPLAN_SID,NUMBER,10,0,Academic Sub Plan Surrogate Identification,,,
CS,WH_D_ACAD_SPLAN,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_D_ACAD_SPLAN,INSTITUTION_CD,VARCHAR2,5,,Institution Code - Currently all values contain UFLOR for University of Florida,,,
CS,WH_D_ACAD_SPLAN,INSTITUTION_SD,VARCHAR2,10,,Institution Short Description of the Institution code,,,
CS,WH_D_ACAD_SPLAN,INSTITUTION_LD,VARCHAR2,30,,Institution Long Description of the Institution code,,,
CS,WH_D_ACAD_SPLAN,ACAD_CAR_SID,NUMBER,10,0,Academic Career surrogate identification,,,
CS,WH_D_ACAD_SPLAN,ACAD_CAR_CD,VARCHAR2,4,,Academic Career Code - designates all course work undertaken by a student at an academic institution,,,
CS,WH_D_ACAD_SPLAN,ACAD_CAR_SD,VARCHAR2,10,,Academic Career Short Description for the Academic Career Code,,,
CS,WH_D_ACAD_SPLAN,ACAD_CAR_LD,VARCHAR2,30,,Academic Career Long Description for the Academic Career Code,,,
CS,WH_D_ACAD_SPLAN,ACAD_GROUP_SID,NUMBER,10,0,Academic Group surrogate identification,,,
CS,WH_D_ACAD_SPLAN,ACAD_GROUP_CD,VARCHAR2,5,,Academic Group Code - The code for the School / College offering the program,,,
CS,WH_D_ACAD_SPLAN,ACAD_GROUP_SD,VARCHAR2,10,,Academic Group Short Description - The short description for the School / College offering the program,,,
CS,WH_D_ACAD_SPLAN,ACAD_GROUP_LD,VARCHAR2,30,,Academic Group Long Description - The long description for the School / College offering the program,,,
CS,WH_D_ACAD_SPLAN,ACAD_PROG_SID,NUMBER,10,0,Academic Program Surrogate Identification,,,
CS,WH_D_ACAD_SPLAN,ACAD_PROG_CD,VARCHAR2,5,,Academic Program Code - An academic program is the program to which a student applies and is admitted and from which the student graduates. ,,,
CS,WH_D_ACAD_SPLAN,ACAD_PROG_SD,VARCHAR2,10,,Academic Program Short Description,,,
CS,WH_D_ACAD_SPLAN,ACAD_PROG_LD,VARCHAR2,30,,Academic Program Long Description,,,
CS,WH_D_ACAD_SPLAN,ACAD_PLAN_SID,NUMBER,10,0,Academic Plan Surrogate Identification,,,
CS,WH_D_ACAD_SPLAN,ACAD_PLAN_CD,VARCHAR2,10,,"Academic Plan Code -  An academic plan is an area of study—such as a major, minor, or specialization—that is within an academic program or within an academic career.",,,
CS,WH_D_ACAD_SPLAN,ACAD_PLAN_SD,VARCHAR2,10,,Academic Plan Short Description,,,
CS,WH_D_ACAD_SPLAN,ACAD_PLAN_LD,VARCHAR2,30,,Academic Plan Long Description,,,
CS,WH_D_ACAD_SPLAN,ACAD_SPLAN_CD,VARCHAR2,10,,"Academic Sub Plan Code- Academic sub plans are areas of further specialization within academic plans, and they are tied to academic plans. You can define an academic sub plan as a minor, a concentration, or a specialization.",,,
CS,WH_D_ACAD_SPLAN,EFF_DT,DATE,7,,"An effective date is when a table row becomes effective, or the date that an action begins. The PeopleSoft system supports the concept of effective-dated rows.",,,
